"Response number","Vote for the student council party"
1,"- Endorse (รับรอง)"
2,"- Endorse (รับรอง)"
3,"- Endorse (รับรอง)"
4,"- Not endorse (ไม่รับรอง)"
5,"- Not endorse (ไม่รับรอง)"
6,"- Endorse (รับรอง)"
7,"- Endorse (รับรอง)"
8,"- Endorse (รับรอง)"
9,"- No vote (ไม่ประสงค์ลงคะเเนน)"
10,"- Endorse (รับรอง)"
11,"- Endorse (รับรอง)"
12,"- Endorse (รับรอง)"
13,"- Endorse (รับรอง)"
14,"- Not endorse (ไม่รับรอง)"
15,"- No vote (ไม่ประสงค์ลงคะเเนน)"
16,"- Endorse (รับรอง)"
17,"- Endorse (รับรอง)"
18,"- Endorse (รับรอง)"
19,"- Endorse (รับรอง)"
20,"- Not endorse (ไม่รับรอง)"
21,"- Endorse (รับรอง)"
22,"- Endorse (รับรอง)"
23,"- No vote (ไม่ประสงค์ลงคะเเนน)"
24,"- Endorse (รับรอง)"
25,"- Endorse (รับรอง)"
26,"- Endorse (รับรอง)"
27,"- Endorse (รับรอง)"
28,"- Endorse (รับรอง)"
29,"- Endorse (รับรอง)"
30,"- Endorse (รับรอง)"
31,"- No vote (ไม่ประสงค์ลงคะเเนน)"
32,"- No vote (ไม่ประสงค์ลงคะเเนน)"
33,"- Endorse (รับรอง)"
34,"- Endorse (รับรอง)"
35,"- No vote (ไม่ประสงค์ลงคะเเนน)"
36,"- Endorse (รับรอง)"
37,"- Endorse (รับรอง)"
38,"- Endorse (รับรอง)"
39,"- Endorse (รับรอง)"
40,"- Endorse (รับรอง)"
41,"- No vote (ไม่ประสงค์ลงคะเเนน)"
42,"- No vote (ไม่ประสงค์ลงคะเเนน)"
43,"- Endorse (รับรอง)"
44,"- Endorse (รับรอง)"
45,"- No vote (ไม่ประสงค์ลงคะเเนน)"
46,"- Endorse (รับรอง)"
47,"- Endorse (รับรอง)"
48,"- Endorse (รับรอง)"
49,"- Endorse (รับรอง)"
50,"- Endorse (รับรอง)"
51,"- Endorse (รับรอง)"
52,"- Endorse (รับรอง)"
